Fábio;12345678910;19940425;5000.00
Bernardo;12345678911;20220101;FILHO
Hugo;12345678911;20200410;OUTROS

Fabiano;12345678913;19870904;1000.00
Débora;12345678914;19830517;OUTROS

Francarlo;12345678910;19630110;2000.00
Guilherme;12345678916;19900920;FILHO
Benjamin;12345678917;20070310;FILHO

Gabriel;12345678918;20040315;3000.00
Lucas;12345678919;20200401;SOBRINHO
Antônio;12345678920;20160719;FILHO

Larissa;12345678921;20031022;4000.00
Theo;12345678922;20180610;FILHO
Luca;12345678923;20211025;SOBRINHO

Pedro;12345678924;19931107;8000.00
Sofia;12345678925;20200210;FILHO
Sara;12345678926;19900625;FILHO
Rafael;12345678927;20060505;SOBRINHO
